Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-08-31 23:00";0,1;2,0;0,15;41,5;4,7;0,8;9,5;307;1,5
"2022-08-31 22:00";0,1;4,1;0,16;36,8;5,1;0,4;9,9;302;1,1
"2022-08-31 21:00";0,1;4,7;0,15;41,5;5,5;0,0;10,7;303;1,2
"2022-08-31 20:00";-0,0;3,7;0,15;44,2;5,5;0,0;11,1;311;1,7
"2022-08-31 19:00";0,1;3,7;0,15;46,7;6,6;0,0;11,8;310;2,2
"2022-08-31 18:00";0,1;4,1;0,15;48,4;7,8;0,0;12,8;308;1,6
"2022-08-31 17:00";0,2;3,5;0,15;50,0;7,8;0,0;13,0;313;2,2
"2022-08-31 16:00";0,2;2,8;0,15;51,3;8,2;0,0;13,4;311;2,3
"2022-08-31 15:00";0,2;1,9;0,15;53,4;8,6;0,0;13,9;310;2,2
"2022-08-31 14:00";0,3;2,1;0,15;50,2;8,6;0,0;13,2;310;2,2
"2022-08-31 13:00";0,2;2,0;0,15;50,0;7,0;0,0;13,6;308;2,4
"2022-08-31 12:00";0,3;2,7;0,15;48,2;5,5;0,0;13,1;311;2,4
"2022-08-31 11:00";0,2;2,4;0,15;42,3;5,5;0,0;12,7;312;2,2
"2022-08-31 10:00";0,2;4,2;0,15;36,6;5,5;0,0;11,6;310;2,1
"2022-08-31 09:00";0,6;4,6;0,16;34,3;5,5;0,0;11,0;310;1,8
"2022-08-31 08:00";0,4;3,8;0,16;32,6;5,5;0,0;9,5;301;1,7
"2022-08-31 07:00";0,4;2,7;0,14;33,4;5,5;0,4;9,5;302;1,5
"2022-08-31 06:00";0,4;0,7;0,15;36,3;5,5;0,8;10,7;308;1,5
"2022-08-31 05:00";0,4;0,3;0,14;31,9;5,5;0,8;10,8;304;1,4
"2022-08-31 04:00";0,5;0,9;0,15;28,4;5,1;0,8;10,9;301;1,4
"2022-08-31 03:00";0,5;1,0;0,15;33,0;4,7;0,8;11,1;299;1,4
"2022-08-31 02:00";0,5;0,5;0,14;38,5;4,7;0,8;11,4;312;1,5
"2022-08-31 01:00";0,4;0,5;0,14;40,1;3,9;0,4;11,9;319;1,7
"2022-08-31 00:00";0,3;0,7;0,15;39,3;3,1;0,0;12,3;322;1,8
"2022-08-30 23:00";0,3;1,2;0,15;38,9;3,1;0,0;12,4;325;1,7
"2022-08-30 22:00";0,4;1,9;0,16;37,9;3,1;0,0;12,7;321;1,7
"2022-08-30 21:00";0,4;2,8;0,16;36,2;3,1;0,0;13,2;322;1,8
"2022-08-30 20:00";0,3;3,1;0,16;34,1;3,1;0,0;13,9;329;1,5
"2022-08-30 19:00";0,3;3,2;0,16;34,8;3,1;0,0;14,1;340;1,6
"2022-08-30 18:00";0,5;4,0;0,16;32,9;3,1;0,0;14,4;344;1,6
"2022-08-30 17:00";0,4;5,6;0,17;30,7;3,1;0,0;14,6;330;1,6
"2022-08-30 16:00";0,4;5,1;0,17;35,4;3,9;0,8;15,2;323;1,8
