Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-03-31 23:00";0,3;43,4;0,89;26,8;43,3;7,9;-1,9;283;0,5
"2022-03-31 22:00";0,4;37,0;0,66;39,6;20,3;1,6;-1,1;197;1,2
"2022-03-31 21:00";0,4;33,5;0,42;50,0;20,3;1,6;-0,1;125;0,7
"2022-03-31 20:00";0,2;22,5;0,35;61,4;18,4;1,6;1,0;53;0,5
"2022-03-31 19:00";0,1;8,3;0,29;75,2;16,4;1,6;1,8;309;1,2
"2022-03-31 18:00";0,1;4,0;0,25;80,3;16,4;1,6;2,5;329;1,1
"2022-03-31 17:00";0,1;5,7;0,25;80,1;19,1;3,2;2,6;327;0,7
"2022-03-31 16:00";0,2;4,0;0,29;82,2;21,9;4,7;1,5;250;0,7
"2022-03-31 15:00";0,1;2,7;0,25;84,2;21,9;4,7;1,9;261;0,7
"2022-03-31 14:00";0,3;3,2;0,28;84,8;21,9;5,9;1,8;207;0,9
"2022-03-31 13:00";0,3;3,3;0,31;83,5;21,9;7,1;1,4;223;0,9
"2022-03-31 12:00";0,4;4,3;0,30;79,9;21,9;7,1;0,5;227;1,0
"2022-03-31 11:00";0,4;6,4;0,30;71,7;18,0;7,1;-0,1;234;0,7
"2022-03-31 10:00";0,6;11,5;0,37;61,0;14,1;7,1;-1,2;219;1,2
"2022-03-31 09:00";0,8;28,2;0,54;43,6;14,1;7,1;-2,7;213;1,2
"2022-03-31 08:00";0,5;34,7;0,93;32,1;11,3;5,9;-4,9;192;1,5
"2022-03-31 07:00";0,4;17,2;0,38;45,3;8,6;4,7;-5,6;198;1,4
"2022-03-31 06:00";0,3;8,8;0,35;52,0;8,6;4,7;-5,4;195;1,5
"2022-03-31 05:00";0,2;5,9;0,31;56,2;10,2;5,1;-5,0;198;1,6
"2022-03-31 04:00";0,2;4,7;0,28;59,7;11,7;5,5;-4,5;200;1,2
"2022-03-31 03:00";0,3;3,3;0,29;63,6;11,7;5,5;-4,3;206;1,1
"2022-03-31 02:00";0,4;4,9;0,36;62,6;26,6;11,9;-3,9;202;1,6
"2022-03-31 01:00";0,5;6,2;0,40;63,2;41,4;18,2;-3,4;203;1,6
"2022-03-31 00:00";0,7;7,5;0,45;63,8;41,4;18,2;-2,9;201;1,7
"2022-03-30 23:00";0,7;12,3;0,65;60,1;32,0;12,3;-2,5;199;1,7
"2022-03-30 22:00";0,8;22,0;0,93;55,5;22,6;6,3;-2,1;204;1,2
"2022-03-30 21:00";0,7;27,7;0,99;53,0;22,6;6,3;-1,4;215;1,2
"2022-03-30 20:00";0,7;15,3;0,62;66,0;19,1;4,7;-0,7;216;1,1
"2022-03-30 19:00";0,4;10,2;0,44;72,1;15,6;3,2;-0,4;218;1,4
"2022-03-30 18:00";0,6;9,9;0,37;72,7;15,6;3,2;-0,7;230;1,5
"2022-03-30 17:00";0,5;7,5;0,31;74,0;16,4;4,0;0,0;262;1,3
"2022-03-30 16:00";0,4;5,0;0,29;77,3;17,2;4,7;0,4;255;1,4
"2022-03-30 15:00";0,2;5,1;0,28;78,6;17,2;4,7;-0,1;282;1,5
"2022-03-30 14:00";0,3;4,7;0,33;76,3;17,2;5,1;0,4;218;1,3
"2022-03-30 13:00";0,3;3,6;0,30;74,9;17,2;5,5;0,2;244;1,4
"2022-03-30 12:00";0,7;6,6;0,32;69,7;17,2;5,5;-0,9;249;1,3
"2022-03-30 11:00";0,8;7,5;0,31;66,5;11,7;5,1;-2,0;236;1,3
"2022-03-30 10:00";1,0;13,5;0,35;57,3;6,2;4,7;-3,7;231;1,4
"2022-03-30 09:00";0,9;25,3;0,41;46,1;6,2;4,7;-5,6;222;1,3
"2022-03-30 08:00";0,4;19,6;0,38;50,6;7,0;4,7;-7,3;217;1,3
"2022-03-30 07:00";0,4;8,0;0,28;60,5;7,8;4,7;-7,7;218;1,4
"2022-03-30 06:00";0,3;3,8;0,25;64,4;7,8;4,7;-7,6;215;1,5
"2022-03-30 05:00";0,2;3,0;0,26;65,3;9,0;6,3;-7,4;211;1,4
"2022-03-30 04:00";0,2;3,3;0,29;63,7;10,2;7,9;-7,2;203;1,4
"2022-03-30 03:00";0,3;4,5;0,31;63,1;10,2;7,9;-6,7;204;1,3
"2022-03-30 02:00";0,5;7,3;0,30;61,2;14,8;9,9;-6,2;218;1,1
"2022-03-30 01:00";0,5;3,7;0,28;66,2;19,5;11,9;-5,8;244;0,8
"2022-03-30 00:00";0,4;28,4;0,54;37,0;19,5;11,9;-5,9;219;0,5
"2022-03-29 23:00";0,4;52,0;0,92;17,0;13,3;7,1;-5,1;195;0,9
"2022-03-29 22:00";0,4;33,8;0,82;45,8;7,0;2,4;-4,0;264;0,7
"2022-03-29 21:00";0,3;18,9;0,50;61,7;7,0;2,4;-3,9;286;0,5
