Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-02-28 23:00";0,2;5,2;0,40;64,7;17,2;11,9;0,2;218;1,2
"2022-02-28 22:00";0,3;9,6;0,57;62,9;24,2;16,6;0,8;211;1,3
"2022-02-28 21:00";0,4;13,1;0,61;63,5;24,2;16,6;1,6;220;1,3
"2022-02-28 20:00";0,8;20,7;0,75;60,8;19,9;11,1;2,3;212;1,1
"2022-02-28 19:00";0,9;23,9;0,71;58,2;15,6;5,5;3,2;212;1,0
"2022-02-28 18:00";1,2;28,6;0,57;55,5;15,6;5,5;4,3;216;1,1
"2022-02-28 17:00";1,6;15,6;0,39;67,1;15,6;6,3;5,5;239;0,9
"2022-02-28 16:00";1,2;9,1;0,34;70,8;15,6;7,1;6,0;245;0,9
"2022-02-28 15:00";1,1;7,8;0,31;70,6;15,6;7,1;5,6;254;1,2
"2022-02-28 14:00";0,9;7,1;0,35;70,3;14,4;7,1;5,1;244;1,2
"2022-02-28 13:00";0,9;7,4;0,33;67,0;13,3;7,1;4,4;259;1,1
"2022-02-28 12:00";0,8;6,8;0,34;64,7;13,3;7,1;3,3;238;1,0
"2022-02-28 11:00";0,5;8,0;0,38;61,2;10,5;5,9;2,0;217;1,1
"2022-02-28 10:00";0,5;9,9;0,41;58,5;7,8;4,7;0,5;219;1,3
"2022-02-28 09:00";0,4;16,9;0,48;51,5;7,8;4,7;-0,9;206;1,5
"2022-02-28 08:00";0,3;14,2;0,44;53,4;7,0;4,0;-1,6;201;1,6
"2022-02-28 07:00";0,4;10,0;0,35;57,2;6,2;3,2;-2,1;197;2,0
"2022-02-28 06:00";0,4;3,8;0,31;64,4;6,2;3,2;-2,0;198;1,8
"2022-02-28 05:00";0,4;2,3;0,29;66,7;6,6;3,6;-1,7;201;1,9
"2022-02-28 04:00";0,2;2,5;0,29;66,0;7,0;4,0;-1,4;207;1,4
"2022-02-28 03:00";0,3;3,8;0,30;66,7;7,0;4,0;-1,2;216;1,3
"2022-02-28 02:00";0,4;2,9;0,34;68,7;21,5;12,3;-1,3;200;2,0
"2022-02-28 01:00";0,5;5,2;0,33;68,3;35,9;20,6;-1,0;200;2,0
"2022-02-28 00:00";0,5;2,8;0,38;69,6;35,9;20,6;-0,9;199;2,2
"2022-02-27 23:00";0,6;8,9;0,58;62,8;51,9;35,6;-1,0;196;2,3
"2022-02-27 22:00";0,8;53,9;0,72;15,8;67,9;50,6;-1,9;188;1,7
"2022-02-27 21:00";1,4;64,5;1,25;13,4;67,9;50,6;-1,2;190;1,5
"2022-02-27 20:00";3,4;60,0;2,04;23,9;39,8;28,9;-0,4;197;2,1
