Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-05-31 23:00";0,2;5,2;0,19;48,0;9,4;4,0;11,6;144;1,3
"2022-05-31 22:00";0,1;20,2;0,26;24,2;9,4;2,8;12,0;127;0,6
"2022-05-31 21:00";0,1;15,1;0,33;34,7;9,4;1,6;12,1;120;0,3
"2022-05-31 20:00";0,1;8,6;0,29;55,3;9,4;1,6;11,6;157;0,6
"2022-05-31 19:00";0,1;8,7;0,24;52,9;8,6;1,2;13,0;213;0,3
"2022-05-31 18:00";0,1;4,1;0,19;68,1;7,8;0,8;13,9;171;1,9
"2022-05-31 17:00";0,1;4,2;0,20;65,4;7,8;0,8;12,8;169;1,7
"2022-05-31 16:00";0,2;4,5;0,19;65,4;6,6;1,2;13,3;157;2,6
"2022-05-31 15:00";0,1;4,2;0,18;63,2;5,5;1,6;13,2;153;2,6
"2022-05-31 14:00";0,1;4,2;0,18;63,5;5,5;1,6;12,1;152;2,7
"2022-05-31 13:00";0,1;5,2;0,18;55,9;5,5;1,2;11,8;150;2,5
"2022-05-31 12:00";0,1;7,3;0,19;49,2;5,5;0,8;11,5;137;3,0
"2022-05-31 11:00";0,1;6,0;0,19;48,5;5,5;0,8;11,0;129;2,8
"2022-05-31 10:00";0,1;5,1;0,17;52,7;5,5;0,8;11,1;118;2,9
"2022-05-31 09:00";0,1;5,4;0,18;53,3;5,5;0,8;11,2;121;2,7
"2022-05-31 08:00";0,1;2,8;0,20;54,3;5,5;0,8;11,7;116;2,7
"2022-05-31 07:00";0,1;0,9;0,17;58,4;5,5;1,2;11,7;100;2,6
"2022-05-31 06:00";0,1;0,2;0,16;63,4;5,5;1,6;11,4;94;2,3
"2022-05-31 05:00";0,1;0,7;0,16;68,3;5,5;1,6;11,2;84;2,4
"2022-05-31 04:00";0,1;1,4;0,16;71,4;5,9;1,6;11,2;78;2,2
"2022-05-31 03:00";0,1;-0,1;0,16;72,9;6,2;1,6;11,9;90;2,8
"2022-05-31 02:00";0,1;1,4;0,16;61,8;6,2;1,6;12,3;76;1,9
"2022-05-31 01:00";0,1;1,6;0,17;54,8;7,8;1,6;11,9;57;1,0
"2022-05-31 00:00";0,1;1,8;0,18;50,1;9,4;1,6;12,9;113;1,2
"2022-05-30 23:00";0,1;3,5;0,17;46,7;9,4;1,6;13,0;87;0,8
"2022-05-30 22:00";0,0;7,1;0,19;46,0;10,2;1,6;12,9;342;0,5
"2022-05-30 21:00";0,1;7,4;0,20;48,5;10,9;1,6;12,9;39;0,4
