Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-07-31 23:00";0,4;7,5;0,18;44,3;9,4;2,4;19,1;109;0,5
"2022-07-31 22:00";0,3;4,7;0,18;50,8;8,6;1,6;20,1;100;0,8
"2022-07-31 21:00";0,2;3,8;0,19;53,4;7,8;0,8;21,3;89;1,1
"2022-07-31 20:00";0,3;2,5;0,20;62,4;7,8;0,8;22,8;103;1,6
"2022-07-31 19:00";0,4;2,5;0,17;78,6;7,0;0,4;23,5;100;0,5
"2022-07-31 18:00";0,5;2,1;0,17;81,9;6,2;0,0;23,4;111;1,1
"2022-07-31 17:00";0,4;1,2;0,16;75,7;6,2;0,0;23,1;86;1,0
"2022-07-31 16:00";0,3;0,5;0,15;71,6;7,4;0,4;23,1;104;0,8
"2022-07-31 15:00";0,4;0,2;0,15;70,7;8,6;0,8;22,8;119;0,7
"2022-07-31 14:00";0,3;0,8;0,21;67,9;8,6;0,8;21,9;105;1,0
"2022-07-31 13:00";0,3;0,8;0,17;66,5;9,0;1,2;21,1;91;1,2
"2022-07-31 12:00";0,4;0,1;0,15;64,9;9,4;1,6;20,5;111;0,5
"2022-07-31 11:00";0,3;-0,0;0,15;66,1;9,4;1,6;19,8;148;0,4
"2022-07-31 10:00";0,4;-0,1;0,15;63,2;8,2;2,0;18,3;201;0,2
"2022-07-31 09:00";0,3;0,8;0,17;55,4;7,0;2,4;17,1;311;0,7
"2022-07-31 08:00";0,3;3,4;0,16;28,4;7,0;2,4;15,4;38;0,2
"2022-07-31 07:00";0,3;4,8;0,17;12,8;6,6;2,4;12,4;100;0,6
"2022-07-31 06:00";0,2;6,3;0,17;17,1;6,2;2,4;10,6;91;0,4
"2022-07-31 05:00";0,2;5,0;0,15;31,2;6,2;2,4;11,1;275;0,3
"2022-07-31 04:00";0,2;4,8;0,18;30,7;5,9;2,0;11,4;342;0,3
"2022-07-31 03:00";0,3;5,5;0,18;32,8;5,5;1,6;12,2;140;0,2
"2022-07-31 02:00";0,3;4,1;0,16;39,1;5,5;1,6;13,2;299;0,2
"2022-07-31 01:00";0,4;3,8;0,16;43,1;5,5;1,2;14,2;258;0,4
"2022-07-31 00:00";0,4;3,5;0,15;50,8;5,5;0,8;15,6;300;0,6
"2022-07-30 23:00";0,4;5,4;0,18;53,9;5,5;0,8;16,4;278;0,0
"2022-07-30 22:00";0,3;4,6;0,18;58,5;5,9;0,4;18,1;278;0,3
"2022-07-30 21:00";0,3;2,7;0,16;64,8;6,2;0,0;19,7;267;0,6
"2022-07-30 20:00";0,4;2,1;0,16;66,7;6,2;0,0;20,3;251;0,4
"2022-07-30 19:00";0,4;0,7;0,15;68,4;6,2;0,0;21,4;268;0,8
"2022-07-30 18:00";0,4;0,7;0,14;66,8;6,2;0,0;21,6;290;0,7
"2022-07-30 17:00";0,2;0,6;0,14;65,7;6,2;0,0;21,2;287;0,8
"2022-07-30 16:00";0,4;0,2;0,15;66,4;6,6;0,0;21,1;293;1,0
"2022-07-30 15:00";0,3;0,6;0,14;63,2;7,0;0,0;20,5;291;0,8
"2022-07-30 14:00";0,3;0,5;0,14;60,0;7,0;0,0;19,9;302;1,2
"2022-07-30 13:00";0,3;0,5;0,14;57,9;6,6;0,4;20,1;263;0,5
