Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-12-31 23:00";0,4;4,8;0,31;31,7;12,5;9,4;5,0;169;2,3
"2022-12-31 22:00";0,5;5,6;0,34;33,4;15,2;10,2;5,1;164;2,6
"2022-12-31 21:00";0,6;5,8;0,34;35,6;18,0;11,0;4,9;171;2,2
"2022-12-31 20:00";0,6;7,4;0,38;35,4;18,0;11,0;4,5;159;2,0
"2022-12-31 19:00";0,6;10,3;0,38;34,1;15,2;9,4;4,4;159;1,9
"2022-12-31 18:00";0,6;13,0;0,51;33,8;12,5;7,9;4,4;169;1,8
"2022-12-31 17:00";0,7;13,2;0,49;33,6;12,5;7,9;4,1;173;1,8
"2022-12-31 16:00";0,6;11,7;0,45;34,5;10,9;5,9;4,0;178;2,1
"2022-12-31 15:00";0,6;9,2;0,37;37,0;9,4;3,9;3,8;180;2,4
"2022-12-31 14:00";0,5;9,8;0,37;39,0;9,4;3,9;3,7;172;2,4
"2022-12-31 13:00";0,5;8,5;0,32;42,1;8,2;2,8;3,8;166;2,6
"2022-12-31 12:00";0,5;6,9;0,27;46,1;7,0;1,6;4,0;163;2,8
"2022-12-31 11:00";0,4;6,1;0,23;46,3;7,0;1,6;3,2;154;2,4
"2022-12-31 10:00";0,3;3,1;0,20;49,3;6,2;1,6;2,7;145;2,6
"2022-12-31 09:00";0,3;3,2;0,19;50,8;5,5;1,6;2,6;149;2,5
"2022-12-31 08:00";0,2;2,9;0,19;50,8;5,5;1,6;2,4;149;2,0
"2022-12-31 07:00";0,3;3,6;0,19;49,8;5,5;2,8;2,8;159;1,6
"2022-12-31 06:00";0,3;3,8;0,18;49,4;5,5;3,9;3,0;165;1,4
"2022-12-31 05:00";0,2;3,5;0,18;48,9;5,5;3,9;3,2;155;1,4
"2022-12-31 04:00";0,4;3,2;0,19;48,5;9,0;5,9;3,2;159;1,1
"2022-12-31 03:00";0,4;4,0;0,21;47,6;12,5;7,9;3,4;174;1,3
"2022-12-31 02:00";0,3;3,7;0,23;48,0;12,5;7,9;3,6;192;1,6
"2022-12-31 01:00";0,4;6,6;0,27;45,8;16,0;10,2;3,7;195;1,3
"2022-12-31 00:00";0,4;6,4;0,33;44,7;19,5;12,6;3,7;195;1,4
"2022-12-30 23:00";0,6;11,6;0,49;39,9;19,5;12,6;3,7;185;1,3
"2022-12-30 22:00";0,6;13,5;0,53;38,4;20,3;14,1;3,7;189;1,2
"2022-12-30 21:00";0,6;16,3;0,61;36,1;21,1;15,7;3,8;191;1,2
"2022-12-30 20:00";0,5;18,6;0,71;35,0;21,1;15,7;3,9;196;1,1
"2022-12-30 19:00";0,7;18,1;0,63;34,6;21,1;14,1;3,9;192;1,4
"2022-12-30 18:00";0,7;19,4;0,69;37,4;21,1;12,6;4,1;188;1,4
"2022-12-30 17:00";0,7;19,6;0,45;37,5;21,1;12,6;4,4;183;1,5
"2022-12-30 16:00";0,7;21,4;0,48;37,5;19,5;11,8;4,4;177;1,2
"2022-12-30 15:00";0,7;21,8;0,43;35,8;18,0;11,0;4,5;180;1,1
"2022-12-30 14:00";0,6;18,8;0,46;38,1;18,0;11,0;4,6;180;1,0
"2022-12-30 13:00";0,5;14,7;0,46;41,7;13,7;8,3;4,7;188;1,4
"2022-12-30 12:00";0,7;15,9;0,54;39,5;9,4;5,5;4,6;189;1,2
"2022-12-30 11:00";0,7;13,6;0,43;37,8;9,4;5,5;4,6;190;1,3
"2022-12-30 10:00";0,5;9,9;0,32;36,1;7,4;3,9;4,3;181;1,5
