Kuupäev;SO2;NO2;CO;O3;PM10;PM2.5;TEMP;WD10;WS10
"2022-09-30 23:00";0,2;7,2;0,34;25,7;18,7;11,0;7,3;151;0,4
"2022-09-30 22:00";0,4;8,7;0,40;24,1;12,9;6,7;7,6;160;0,6
"2022-09-30 21:00";0,3;12,7;0,50;21,8;7,0;2,4;8,3;169;0,7
"2022-09-30 20:00";0,5;23,6;0,71;12,9;7,0;2,4;9,2;168;0,6
"2022-09-30 19:00";0,4;15,9;0,42;18,6;7,4;2,0;10,2;169;0,3
"2022-09-30 18:00";0,3;10,1;0,31;28,2;7,8;1,6;11,1;173;0,8
"2022-09-30 17:00";0,2;5,1;0,24;35,1;7,8;1,6;12,1;184;0,7
"2022-09-30 16:00";0,3;4,2;0,26;36,6;8,6;2,4;12,3;174;0,9
"2022-09-30 15:00";0,1;4,5;0,23;36,7;9,4;3,1;12,3;235;0,5
"2022-09-30 14:00";0,3;5,3;0,24;36,7;9,4;3,1;11,3;196;0,5
"2022-09-30 13:00";0,2;4,0;0,22;36,4;8,6;3,5;10,6;251;0,5
"2022-09-30 12:00";0,1;4,9;0,23;37,2;7,8;3,9;10,4;180;0,7
"2022-09-30 11:00";0,3;5,4;0,26;31,2;7,8;3,9;9,3;184;0,7
"2022-09-30 10:00";0,3;6,2;0,28;26,1;6,6;2,8;8,3;179;0,7
"2022-09-30 09:00";0,3;13,3;0,34;9,6;5,5;1,6;7,6;165;0,8
"2022-09-30 08:00";0,2;8,6;0,30;8,3;5,5;1,6;7,5;246;0,3
"2022-09-30 07:00";0,2;7,4;0,24;4,0;5,9;2,0;7,8;309;0,4
"2022-09-30 06:00";0,2;3,7;0,23;4,2;6,2;2,4;7,6;104;0,3
"2022-09-30 05:00";0,2;3,0;0,22;6,8;6,2;2,4;7,7;144;0,4
"2022-09-30 04:00";0,1;2,7;0,22;8,9;7,0;2,8;8,1;154;0,4
"2022-09-30 03:00";0,2;3,1;0,24;10,4;7,8;3,1;8,2;152;0,5
"2022-09-30 02:00";0,1;2,1;0,23;11,7;7,8;3,1;8,3;163;0,5
"2022-09-30 01:00";0,2;4,5;0,25;10,0;8,6;3,5;8,4;146;0,7
"2022-09-30 00:00";0,1;4,0;0,22;10,3;9,4;3,9;8,3;145;0,9
"2022-09-29 23:00";0,1;5,4;0,25;10,8;9,4;3,9;8,3;137;0,8
"2022-09-29 22:00";0,1;8,3;0,26;10,9;9,4;3,9;8,3;126;0,6
"2022-09-29 21:00";0,1;10,9;0,29;12,6;9,4;3,9;8,3;131;0,7
"2022-09-29 20:00";0,1;12,0;0,31;15,0;9,4;3,9;8,2;128;0,8
"2022-09-29 19:00";0,2;11,7;0,37;22,0;9,4;3,5;8,1;111;1,0
"2022-09-29 18:00";0,2;12,2;0,25;24,8;9,4;3,1;8,2;109;1,2
"2022-09-29 17:00";0,2;15,0;0,29;23,1;9,4;3,1;8,7;105;1,1
"2022-09-29 16:00";0,6;10,0;0,29;36,3;9,4;2,8;9,6;116;1,6
"2022-09-29 15:00";0,2;5,0;0,22;35,2;9,4;2,4;10,0;105;1,6
"2022-09-29 14:00";0,0;5,7;0,23;29,1;9,4;2,4;10,0;106;1,4
"2022-09-29 13:00";0,2;4,6;0,22;31,8;8,6;2,4;10,0;119;1,5
"2022-09-29 12:00";0,1;5,1;0,23;27,2;7,8;2,4;9,4;127;1,4
"2022-09-29 11:00";0,1;4,2;0,21;23,6;7,8;2,4;9,0;117;1,4
"2022-09-29 10:00";0,1;7,7;0,23;10,8;7,0;2,0;8,0;141;0,8
"2022-09-29 09:00";0,2;11,6;0,26;3,7;6,2;1,6;7,7;126;0,8
"2022-09-29 08:00";0,2;9,0;0,25;4,3;6,2;1,6;7,6;130;0,7
"2022-09-29 07:00";0,0;3,4;0,20;8,9;6,2;1,6;7,7;105;0,6
"2022-09-29 06:00";0,1;2,4;0,20;11,1;6,2;1,6;7,8;78;0,7
"2022-09-29 05:00";0,1;1,8;0,20;10,7;6,2;1,6;8,0;28;0,4
"2022-09-29 04:00";0,0;1,8;0,20;10,5;6,6;2,0;8,0;8;0,4
"2022-09-29 03:00";0,0;1,1;0,20;12,2;7,0;2,4;8,0;8;0,4
